Molecule ChEMBL ID	Molecule Name	Molecule Max Phase	Molecular Weight	#RO5 Violations	AlogP	Compound Key	Smiles	Standard Type	Standard Relation	Standard Value	Standard Units	pChEMBL Value	Data Validity Comment	Comment	Uo Units	Ligand Efficiency BEI	Ligand Efficiency LE	Ligand Efficiency LLE	Ligand Efficiency SEI	Potential Duplicate	Assay ChEMBL ID	Assay Description	Assay Type	BAO Format ID	BAO Label	Assay Organism	Assay Tissue ChEMBL ID	Assay Tissue Name	Assay Cell Type	Assay Subcellular Fraction	Assay Parameters	Assay Variant Accession	Assay Variant Mutation	Target ChEMBL ID	Target Name	Target Organism	Target Type	Document ChEMBL ID	Source ID	Source Description	Document Journal	Document Year	Cell ChEMBL ID	Properties	Action Type	Standard Text Value	Value
CHEMBL3301622	GILTERITINIB	4	552.72	1	2.7	Gilteritinib	CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1	Kd	'>'	30000	nM			Inactive	UO_0000065					0	CHEMBL3991686	"Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry."	B	BAO_0000220	subcellular format	Homo sapiens	None	None	"K-562, COLO 205, SK-N-BE(2) and MV-4-11"	Cell lysate	Direct Binder: yes			CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL3991601	48	Kuster Lab Chemical Proteomics Drug Profiling	Science	2017	None				30000
CHEMBL1721885	SU-014813	2	442.49	0	1.69	SU-14813	Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1	Kd	'>'	30000	nM			Inactive	UO_0000065					0	CHEMBL3991686	"Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry."	B	BAO_0000220	subcellular format	Homo sapiens	None	None	"K-562, COLO 205, SK-N-BE(2) and MV-4-11"	Cell lysate	Direct Binder: yes			CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL3991601	48	Kuster Lab Chemical Proteomics Drug Profiling	Science	2017	None				30000
CHEMBL4876497		None	378.86	0	4.73	37	Cc1n[nH]c2ccc(-c3cc(N[C@@H](CO)c4ccccc4)cnc3Cl)cc12	IC50	'>'	1000	nM				UO_0000065					0	CHEMBL4841267	Inhibition of DDR2 (unknown origin)	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL4840335	1	Scientific Literature	J Med Chem	2021	None				1000
CHEMBL156524		None	324.77	0	2.77	SB-333612	O=C1NC(=O)C(N2CCc3ccccc32)=C1c1ccc(Cl)cc1	Inhibition	'='	8.8	%				UO_0000187					0	CHEMBL1962257	GSK_PKIS: DDR2 mean inhibition at 1 uM [Nanosyn]	B	BAO_0000357	single protein format	None	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1961873	16	GSK Published Kinase Inhibitor Set			None				8.8
CHEMBL175321		None	263.3	0	3.2	GR-105659X	O=C1Nc2ccccc2/C1=C1\CCc2cc(O)ccc21	Inhibition	'='	2.06	%				UO_0000187					0	CHEMBL1962256	GSK_PKIS: DDR2 mean inhibition at 0.1 uM [Nanosyn]	B	BAO_0000357	single protein format	None	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1961873	16	GSK Published Kinase Inhibitor Set			None				2.06
CHEMBL1909396	GW768505A	None	573.93	2	6.95	GW768505A	COc1ccc(-c2oc3ncnc(N)c3c2-c2ccc(NC(=O)Nc3cc(C(F)(F)F)ccc3F)cc2)cc1.Cl	Inhibition	'='	87.35	%				UO_0000187					0	CHEMBL1962257	GSK_PKIS: DDR2 mean inhibition at 1 uM [Nanosyn]	B	BAO_0000357	single protein format	None	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1961873	16	GSK Published Kinase Inhibitor Set			None				87.35
CHEMBL174426		None	354.21	0	4.02	BPIQ_I	Cn1cnc2cc3c(Nc4cccc(Br)c4)ncnc3cc21	Residual Activity	'='	75	%				UO_0000187					0	CHEMBL2219026	"Millipore: Percentage of residual kinase activity of DDR2 at 1uM relative to control. Control inhibitor: Staurosporine at 100.0uM. Buffer: 8 mM MOPS pH 7.0, 0.2 mM EDTA, 10 mM MnCl2"	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL2218924	1	Scientific Literature	Biochem J	2013	None				75
CHEMBL596380		None	193.16	0	1.66	Syk_Inhibitor_III	O=[N+]([O-])/C=C/c1ccc2c(c1)OCO2	Residual Activity	'='	100	%				UO_0000187					0	CHEMBL2219026	"Millipore: Percentage of residual kinase activity of DDR2 at 1uM relative to control. Control inhibitor: Staurosporine at 100.0uM. Buffer: 8 mM MOPS pH 7.0, 0.2 mM EDTA, 10 mM MnCl2"	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL2218924	1	Scientific Literature	Biochem J	2013	None				100
CHEMBL377193		None	292.29	0	3.29	Flt_3_Inhibitor_II	O=C(c1cc2cc(O)ccc2[nH]1)c1cc2cc(O)ccc2[nH]1	Residual Activity	'='	95	%				UO_0000187					0	CHEMBL2219026	"Millipore: Percentage of residual kinase activity of DDR2 at 1uM relative to control. Control inhibitor: Staurosporine at 100.0uM. Buffer: 8 mM MOPS pH 7.0, 0.2 mM EDTA, 10 mM MnCl2"	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL2218924	1	Scientific Literature	Biochem J	2013	None				95
CHEMBL272026	GW290597X	None	467.51	0	1.12	GW290597X	NS(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3ccc(C(=O)NCCCn4ccnc4)cc32)cc1	Inhibition	'='	1.93	%				UO_0000187					0	CHEMBL1962257	GSK_PKIS: DDR2 mean inhibition at 1 uM [Nanosyn]	B	BAO_0000357	single protein format	None	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1961873	16	GSK Published Kinase Inhibitor Set			None				1.93
CHEMBL65884	GW817396X	None	362.37	0	3.41	GW817396X	COc1cccc(-n2ncc3c(N/N=C/c4ccc(F)cc4)ncnc32)c1	Inhibition	'='	4.36	%				UO_0000187					0	CHEMBL1962257	GSK_PKIS: DDR2 mean inhibition at 1 uM [Nanosyn]	B	BAO_0000357	single protein format	None	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1961873	16	GSK Published Kinase Inhibitor Set			None				4.36
CHEMBL1909398	GW282536X	None	330.37	0	1.41	GW282536X	Cc1cccc2c1NC(=O)/C2=N\Nc1ccc(S(N)(=O)=O)cc1	Inhibition	'='	1.44	%				UO_0000187					0	CHEMBL1962256	GSK_PKIS: DDR2 mean inhibition at 0.1 uM [Nanosyn]	B	BAO_0000357	single protein format	None	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1961873	16	GSK Published Kinase Inhibitor Set			None				1.44
CHEMBL1909375	GSK-614526A	None	525.49	0	1.34	GSK614526A	CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@@H]3CCCN3)c21.O=C(O)C(F)(F)F	Inhibition	'='	1.15	%				UO_0000187					0	CHEMBL1962256	GSK_PKIS: DDR2 mean inhibition at 0.1 uM [Nanosyn]	B	BAO_0000357	single protein format	None	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1961873	16	GSK Published Kinase Inhibitor Set			None				1.15
CHEMBL103080		None	370.43	0	2.95	SB-742864	CS(=O)(=O)Nc1cccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3c2)c1	Inhibition	'='	0.9	%				UO_0000187					0	CHEMBL1962256	GSK_PKIS: DDR2 mean inhibition at 0.1 uM [Nanosyn]	B	BAO_0000357	single protein format	None	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1961873	16	GSK Published Kinase Inhibitor Set			None				0.9
CHEMBL365072		None	258.29	0	1.65	SB-751148	CCc1nccc2c1nc(-c1nonc1N)n2CC	Inhibition	'='	2.38	%				UO_0000187					0	CHEMBL1962257	GSK_PKIS: DDR2 mean inhibition at 1 uM [Nanosyn]	B	BAO_0000357	single protein format	None	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1961873	16	GSK Published Kinase Inhibitor Set			None				2.38
CHEMBL1909367	GW680908A	None	587.94	2	5.38	GW680908A	COC(=O)Nc1nc2ccc(S(=O)(=O)c3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)cc3)cc2[nH]1.Cl	Inhibition	'='	62.66	%				UO_0000187					0	CHEMBL1962257	GSK_PKIS: DDR2 mean inhibition at 1 uM [Nanosyn]	B	BAO_0000357	single protein format	None	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1961873	16	GSK Published Kinase Inhibitor Set			None				62.66
CHEMBL269883	GW416981X	None	415.47	0	2.55	GW416981X	CC(C)COC(=O)c1ccc2c(c1)/C(=C/Nc1ccc(S(N)(=O)=O)cc1)C(=O)N2	Inhibition	'='	-1.05	%				UO_0000187					0	CHEMBL1962256	GSK_PKIS: DDR2 mean inhibition at 0.1 uM [Nanosyn]	B	BAO_0000357	single protein format	None	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1961873	16	GSK Published Kinase Inhibitor Set			None				-1.05
CHEMBL1909367	GW680908A	None	587.94	2	5.38	GW680908A	COC(=O)Nc1nc2ccc(S(=O)(=O)c3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)cc3)cc2[nH]1.Cl	Inhibition	'='	10.35	%				UO_0000187					0	CHEMBL1962256	GSK_PKIS: DDR2 mean inhibition at 0.1 uM [Nanosyn]	B	BAO_0000357	single protein format	None	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1961873	16	GSK Published Kinase Inhibitor Set			None				10.35
CHEMBL446024	GW683003X	None	294.24	0	2.16	GW683003X	FC(F)(F)CNc1nccc(-c2cnn3ncccc23)n1	Inhibition	'='	0.22	%				UO_0000187					0	CHEMBL1962257	GSK_PKIS: DDR2 mean inhibition at 1 uM [Nanosyn]	B	BAO_0000357	single protein format	None	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1961873	16	GSK Published Kinase Inhibitor Set			None				0.22
CHEMBL365248	GW810372X	None	402.34	0	3.84	GW810372X	COc1ccc2c(-c3ccnc(Nc4cccc(OC(F)(F)F)c4)n3)cnn2n1	Inhibition	'='	3.16	%				UO_0000187					0	CHEMBL1962257	GSK_PKIS: DDR2 mean inhibition at 1 uM [Nanosyn]	B	BAO_0000357	single protein format	None	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1961873	16	GSK Published Kinase Inhibitor Set			None				3.16
CHEMBL5081523		None	529.69	1	4.99	24	CCCNC(=O)[C@H](CCC1CCCCC1)NC(=O)c1ccc(CNC(=O)c2cc(-c3ccccc3)n[nH]2)cc1	IC50	'='	59200	nM	4.23			UO_0000065	7.98	0.15	-0.76	3.65	0	CHEMBL5054159	Inhibition of DDR2 (unknown origin) expressed in HEK293T cells using NanoBRET NanoGlo substrate incubated for 2 hrs by NanoBRET assay	B	BAO_0000219	cell-based format	Homo sapiens	None	None	HEK293T	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL5053509	1	Scientific Literature	J Med Chem	2021	None	TIME = 2.0 hr	INHIBITOR		59.2
CHEMBL330422		None	396.47	0	2.82	SB-226879	CN1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(NCCO)n2)CC1	Inhibition	'='	2.1	%				UO_0000187					0	CHEMBL1962256	GSK_PKIS: DDR2 mean inhibition at 0.1 uM [Nanosyn]	B	BAO_0000357	single protein format	None	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1961873	16	GSK Published Kinase Inhibitor Set			None				2.1
CHEMBL220243	GW406731X	None	283.33	0	3.36	GW406731X	COC(=O)c1cncc(/C=C/c2c(C)cc(O)cc2C)c1	Inhibition	'='	10.33	%				UO_0000187					0	CHEMBL1962257	GSK_PKIS: DDR2 mean inhibition at 1 uM [Nanosyn]	B	BAO_0000357	single protein format	None	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1961873	16	GSK Published Kinase Inhibitor Set			None				10.33
CHEMBL4483816		None	429.51	0	3.94	25	Cc1cccc(Cn2nc(C)c3c(NC(=O)c4csc5c(N)ncnc45)cccc32)n1	IC50	'='	64	nM	7.19			UO_0000065	16.75	0.32	3.25	6.45	0	CHEMBL4372354	Inhibition of recombinant human N-terminal His6-tagged DDR2 (467 to end residues) expressed in baculovirus infected Sf21 insect cells using Axltide as substrate in presence of [gamma-33P]-ATP or [gamma-32P]-ATP	B	BAO_0000219	cell-based format	Homo sapiens	None	None	Sf21	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL4371041	1	Scientific Literature	Bioorg Med Chem Lett	2019	CHEMBL4106362				64
CHEMBL4553037		None	492.51	1	5.37	EUB0000005b	Cc1cn(-c2cc(NC(=O)c3ccc4c(c3)CN(c3cncnc3)C[C@@H]4C)cc(C(F)(F)F)c2)cn1	IC50	'='	175	nM	6.76			UO_0000065	13.72	0.26	1.39	8.9	0	CHEMBL5210191	Affinity On-target Cellular interaction (NanoBRET assay (HEK293T cells)) EUB0000005b DDR2	B	BAO_0000019	assay format	Homo sapiens	None	None	None	None	Mode of action: Inhibitor | Negative control: DDR-TRK-1N (380079) | Protein family: Protein Kinase | Recommended concentration = 1.0 uM			CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL5210121	65	EUbOPEN Chemogenomic Library Literature Data		2023	None	Affinity On-target Cellular Source Knowledge: https://www.thesgc.org/chemical-probes/DDR-TRK-1			175
CHEMBL1909396	GW768505A	None	573.93	2	6.95	GW768505A	COc1ccc(-c2oc3ncnc(N)c3c2-c2ccc(NC(=O)Nc3cc(C(F)(F)F)ccc3F)cc2)cc1.Cl	Inhibition	'='	56.32	%				UO_0000187					0	CHEMBL1962256	GSK_PKIS: DDR2 mean inhibition at 0.1 uM [Nanosyn]	B	BAO_0000357	single protein format	None	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1961873	16	GSK Published Kinase Inhibitor Set			None				56.32
CHEMBL258844		None	551.65	2	6.32	Akti_1_2	O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3nc4cc5[nH]cnc5cc4nc3-c3ccccc3)cc2)CC1	Residual Activity	'='	85	%				UO_0000187					0	CHEMBL2219027	"Millipore: Percentage of residual kinase activity of DDR2 at 10uM relative to control. Control inhibitor: Staurosporine at 100.0uM. Buffer: 8 mM MOPS pH 7.0, 0.2 mM EDTA, 10 mM MnCl2"	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL2218924	1	Scientific Literature	Biochem J	2013	None				85
CHEMBL1688860		None	538.57	2	5.13	"26, ML721"	CN(C)Cc1cc(C(=O)N[C@@H]2CCc3ccc(Oc4ccnc5c4CCC(=O)N5)cc3C2)cc(C(F)(F)F)c1	IC50	'='	2.6	nM	8.59			UO_0000065	15.94	0.3	3.46	10.27	0	CHEMBL1693589	Inhibition of DDR2	B	BAO_0000357	single protein format	None	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1687927	1	Scientific Literature	J Med Chem	2011	None				2.6
CHEMBL269450		None	433.46	1	5	SB-242717	Fc1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1	Inhibition	'='	2.89	%				UO_0000187					0	CHEMBL1962256	GSK_PKIS: DDR2 mean inhibition at 0.1 uM [Nanosyn]	B	BAO_0000357	single protein format	None	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1961873	16	GSK Published Kinase Inhibitor Set			None				2.89
CHEMBL205798	GW703087X	None	486.93	1	5.95	GW703087X	CC(=O)Nc1cccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1	Inhibition	'='	4.51	%				UO_0000187					0	CHEMBL1962256	GSK_PKIS: DDR2 mean inhibition at 0.1 uM [Nanosyn]	B	BAO_0000357	single protein format	None	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1961873	16	GSK Published Kinase Inhibitor Set			None				4.51
CHEMBL479079	GW612286X	None	406.45	0	4.17	GW612286X	COc1cc(Nc2nccc(Nc3ccc4c(C)n[nH]c4c3)n2)cc(OC)c1OC	Inhibition	'='	43.06	%				UO_0000187					0	CHEMBL1962257	GSK_PKIS: DDR2 mean inhibition at 1 uM [Nanosyn]	B	BAO_0000357	single protein format	None	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1961873	16	GSK Published Kinase Inhibitor Set			None				43.06
CHEMBL318892		None	428.52	1	5.16	SB-236687	CN1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(Nc3ccccc3)n2)CC1	Inhibition	'='	-0.08	%				UO_0000187					0	CHEMBL1962256	GSK_PKIS: DDR2 mean inhibition at 0.1 uM [Nanosyn]	B	BAO_0000357	single protein format	None	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1961873	16	GSK Published Kinase Inhibitor Set			None				-0.08
CHEMBL179453	GW622055X	None	392.86	0	4.54	GW622055X	CCS(=O)(=O)c1ccc(OC)c(Nc2ncc(-c3ccccc3Cl)o2)c1	Inhibition	'='	3.73	%				UO_0000187					0	CHEMBL1962256	GSK_PKIS: DDR2 mean inhibition at 0.1 uM [Nanosyn]	B	BAO_0000357	single protein format	None	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1961873	16	GSK Published Kinase Inhibitor Set			None				3.73
CHEMBL468963	GW779439X	None	454.46	0	3.7	GW779439X	CN1CCN(c2ccc(Nc3nccc(-c4cnn5ncccc45)n3)cc2C(F)(F)F)CC1	Inhibition	'='	18.12	%				UO_0000187					0	CHEMBL1962257	GSK_PKIS: DDR2 mean inhibition at 1 uM [Nanosyn]	B	BAO_0000357	single protein format	None	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1961873	16	GSK Published Kinase Inhibitor Set			None				18.12
CHEMBL475599	GSK-300014A	None	603.17	2	6.67	GSK300014A	CS(=O)(=O)CCNCc1cc(-c2cc3c(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)ncnc3s2)cs1	Inhibition	'='	4.67	%				UO_0000187					0	CHEMBL1962256	GSK_PKIS: DDR2 mean inhibition at 0.1 uM [Nanosyn]	B	BAO_0000357	single protein format	None	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1961873	16	GSK Published Kinase Inhibitor Set			None				4.67
CHEMBL230597	GSK-586581A	None	381.46	0	3.07	GSK586581A	CS(=O)(=O)Nc1ccc(-c2cc(-c3ccccc3)cc(C(N)=O)c2N)cc1	Inhibition	'='	-0.17	%				UO_0000187					0	CHEMBL1962256	GSK_PKIS: DDR2 mean inhibition at 0.1 uM [Nanosyn]	B	BAO_0000357	single protein format	None	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1961873	16	GSK Published Kinase Inhibitor Set			None				-0.17
CHEMBL1802728		None	422.53	0	4.54	NU6140	CCN(CC)C(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1	Residual Activity	'='	66	%				UO_0000187					0	CHEMBL2219027	"Millipore: Percentage of residual kinase activity of DDR2 at 10uM relative to control. Control inhibitor: Staurosporine at 100.0uM. Buffer: 8 mM MOPS pH 7.0, 0.2 mM EDTA, 10 mM MnCl2"	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL2218924	1	Scientific Literature	Biochem J	2013	None				66
CHEMBL318728	GW549390X	None	236.27	0	4.09	GW549390X	c1ccc(Nc2ncc(-c3ccccc3)o2)cc1	Inhibition	'='	7.24	%				UO_0000187					0	CHEMBL1962257	GSK_PKIS: DDR2 mean inhibition at 1 uM [Nanosyn]	B	BAO_0000357	single protein format	None	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1961873	16	GSK Published Kinase Inhibitor Set			None				7.24
CHEMBL275200		None	471.58	1	6.16	SB-278538	CC(C)(C)c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1	Inhibition	'='	45.83	%				UO_0000187					0	CHEMBL1962257	GSK_PKIS: DDR2 mean inhibition at 1 uM [Nanosyn]	B	BAO_0000357	single protein format	None	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1961873	16	GSK Published Kinase Inhibitor Set			None				45.83
CHEMBL1909366	GW659386A	None	539.87	2	6.34	GW659386A	COC(=O)Nc1nc2cc(Oc3cccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)c3)ccc2[nH]1.Cl	Inhibition	'='	13.17	%				UO_0000187					0	CHEMBL1962256	GSK_PKIS: DDR2 mean inhibition at 0.1 uM [Nanosyn]	B	BAO_0000357	single protein format	None	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1961873	16	GSK Published Kinase Inhibitor Set			None				13.17
CHEMBL206010	GW814408X	None	344.38	0	3.47	GW814408X	COc1cccc(-c2c[nH]c3c(N/N=C/c4ccncc4)ncnc23)c1	Inhibition	'='	14.78	%				UO_0000187					0	CHEMBL1962257	GSK_PKIS: DDR2 mean inhibition at 1 uM [Nanosyn]	B	BAO_0000357	single protein format	None	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1961873	16	GSK Published Kinase Inhibitor Set			None				14.78
CHEMBL305477	GW829874X	None	374.4	0	3.28	GW829874X	COc1cccc(/C=N/Nc2ncnc3c2cnn3-c2cccc(OC)c2)c1	Inhibition	'='	1.34	%				UO_0000187					0	CHEMBL1962256	GSK_PKIS: DDR2 mean inhibition at 0.1 uM [Nanosyn]	B	BAO_0000357	single protein format	None	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1961873	16	GSK Published Kinase Inhibitor Set			None				1.34
CHEMBL2218929		None	287.32	0	3.57	JAK3_Inhibitor_VI	O=C1Nc2ccc(-c3cccnc3)cc2/C1=C\c1ccc[nH]1	Residual Activity	'='	110	%				UO_0000187					0	CHEMBL2219026	"Millipore: Percentage of residual kinase activity of DDR2 at 1uM relative to control. Control inhibitor: Staurosporine at 100.0uM. Buffer: 8 mM MOPS pH 7.0, 0.2 mM EDTA, 10 mM MnCl2"	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL2218924	1	Scientific Literature	Biochem J	2013	None				110
CHEMBL3799292	(R)-9s	None	300.75	0	2.2	EUB0000300	C[C@H](c1cccc(C#N)c1)n1cc(Cl)cc(C(N)=O)c1=N	% Control	'='	100	%			Not Active	UO_0000187					0	CHEMBL4879664	KinomeScan assay: inhibition of DDR2	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None	Amino acid Start/Stop: V555/E855 | Expression system: mammalian | Kinase construct length: Partial Length | Kinase form: Wild Type			CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL4507301	54	SGC Frankfurt - Donated Chemical Probes		2021	None	Compound concentration None 1000.0 nM			100
CHEMBL270164	GW607117X	None	394.43	1	5.14	GW607117X	Cc1nnc(-c2ccc(C)c(-c3ccc(C(=O)Nc4cccc(C#N)c4)cc3)c2)o1	Inhibition	'='	1.45	%				UO_0000187					0	CHEMBL1962256	GSK_PKIS: DDR2 mean inhibition at 0.1 uM [Nanosyn]	B	BAO_0000357	single protein format	None	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1961873	16	GSK Published Kinase Inhibitor Set			None				1.45
CHEMBL483747	GSK-980961A	None	390.46	0	4.13	GSK980961A	NS(=O)(=O)c1cccc(-c2cc3ccncc3cc2OCc2ccccc2)c1	Inhibition	'='	6.85	%				UO_0000187					0	CHEMBL1962257	GSK_PKIS: DDR2 mean inhibition at 1 uM [Nanosyn]	B	BAO_0000357	single protein format	None	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1961873	16	GSK Published Kinase Inhibitor Set			None				6.85
CHEMBL160333		None	349.17	0	3.18	SB-409514	O=C1NC(=O)C(c2cccc(Cl)c2)=C1Nc1ccc(O)c(Cl)c1	Inhibition	'='	-1.25	%				UO_0000187					0	CHEMBL1962256	GSK_PKIS: DDR2 mean inhibition at 0.1 uM [Nanosyn]	B	BAO_0000357	single protein format	None	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL1961873	16	GSK Published Kinase Inhibitor Set			None				-1.25
CHEMBL2311807		None	479.52	1	5.48	2b	Cc1cn(-c2cc(F)cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)c2)cn1	Kd	'='	14	nM	7.85			UO_0000065	16.38	0.3	2.37	8.05	0	CHEMBL2319224	Binding affinity to human DDR2	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None				CHEMBL5122	Discoidin domain-containing receptor 2	Homo sapiens	SINGLE PROTEIN	CHEMBL2311368	1	Scientific Literature	Bioorg Med Chem Lett	2013	None				14
